Punto,Lat,Long
0,6.549855,-73.9449275
1,6.54912976,-73.9449275
2,6.548404519999999,-73.9449275
3,6.547679279999999,-73.9449275
4,6.546954039999998,-73.9449275
5,6.546228799999998,-73.9449275
6,6.545503559999998,-73.9449275
7,6.544778319999997,-73.9449275
8,6.544053079999997,-73.9449275
9,6.543327839999996,-73.9449275
10,6.542602599999996,-73.9449275
11,6.5418773599999955,-73.9449275
12,6.541152119999995,-73.9449275
13,6.540426879999995,-73.9449275
14,6.539701639999994,-73.9449275
15,6.538976399999994,-73.9449275
16,6.5382511599999935,-73.9449275
17,6.537525919999993,-73.9449275
18,6.536800679999993,-73.9449275
19,6.536075439999992,-73.9449275
20,6.535350199999992,-73.9449275
21,6.5346249599999915,-73.9449275
22,6.533899719999991,-73.9449275
23,6.533174479999991,-73.9449275
24,6.53244923999999,-73.9449275
25,6.53172399999999,-73.9449275
26,6.5309987599999895,-73.9449275
27,6.530273519999989,-73.9449275
28,6.529548279999989,-73.9449275
29,6.528823039999988,-73.9449275
30,6.528097799999988,-73.9449275
31,6.5273725599999874,-73.9449275
32,6.526647319999987,-73.9449275
33,6.525922079999987,-73.9449275
34,6.525196839999986,-73.9449275
35,6.524471599999986,-73.9449275
36,6.523746359999985,-73.9449275
37,6.523021119999985,-73.9449275
38,6.522295879999985,-73.9449275
39,6.521570639999984,-73.9449275
40,6.520845399999984,-73.9449275
41,6.520120159999983,-73.9449275
42,6.519394919999983,-73.9449275
43,6.518669679999983,-73.9449275
44,6.517944439999982,-73.9449275
45,6.517219199999982,-73.9449275
46,6.516493959999981,-73.9449275
47,6.515768719999981,-73.9449275
48,6.515043479999981,-73.9449275
49,6.51431823999998,-73.9449275
50,6.51359299999998,-73.9449275
51,6.512867759999979,-73.9449275
52,6.512142519999979,-73.9449275
53,6.5114172799999785,-73.9449275
54,6.510692039999978,-73.9449275
55,6.509966799999978,-73.9449275
56,6.509241559999977,-73.9449275
57,6.508516319999977,-73.9449275
58,6.5077910799999765,-73.9449275
59,6.507065839999976,-73.9449275
60,6.506340599999976,-73.9449275
61,6.505615359999975,-73.9449275
62,6.504890119999975,-73.9449275
63,6.5041648799999745,-73.9449275
64,6.503439639999974,-73.9449275
65,6.502714399999974,-73.9449275
66,6.501989159999973,-73.9449275
67,6.501263919999973,-73.9449275
68,6.5005386799999725,-73.9449275
69,6.499813439999972,-73.9449275
70,6.499088199999972,-73.9449275
71,6.498362959999971,-73.9449275
72,6.497637719999971,-73.9449275
73,6.4969124799999705,-73.9449275
74,6.49618723999997,-73.9449275
75,6.49546199999997,-73.9449275
76,6.494736759999969,-73.9449275
77,6.494011519999969,-73.9449275
78,6.493286279999968,-73.9449275
79,6.492561039999968,-73.9449275
80,6.491835799999968,-73.9449275
81,6.491110559999967,-73.9449275
82,6.490385319999967,-73.9449275
83,6.489660079999966,-73.9449275
84,6.488934839999966,-73.9449275
85,6.488209599999966,-73.9449275
86,6.487484359999965,-73.9449275
87,6.486759119999965,-73.9449275
88,6.486033879999964,-73.9449275
89,6.485308639999964,-73.9449275
90,6.484583399999964,-73.9449275
91,6.483858159999963,-73.9449275
92,6.483132919999963,-73.9449275
93,6.482407679999962,-73.9449275
94,6.481682439999962,-73.9449275
95,6.480957199999962,-73.9449275
96,6.480231959999961,-73.9449275
97,6.479506719999961,-73.9449275
98,6.47878147999996,-73.9449275
99,6.47805623999996,-73.9449275
100,6.4773309999999595,-73.9449275
101,6.476605759999959,-73.9449275
102,6.475880519999959,-73.9449275
103,6.475155279999958,-73.9449275
104,6.474430039999958,-73.9449275
105,6.4737047999999575,-73.9449275
106,6.472979559999957,-73.9449275
107,6.472254319999957,-73.9449275
108,6.471529079999956,-73.9449275
109,6.470803839999956,-73.9449275
110,6.4700785999999555,-73.9449275
111,6.469353359999955,-73.9449275
112,6.468628119999955,-73.9449275
113,6.467902879999954,-73.9449275
114,6.467177639999954,-73.9449275
115,6.4664523999999535,-73.9449275
116,6.465727159999953,-73.9449275
117,6.465001919999953,-73.9449275
118,6.464276679999952,-73.9449275
119,6.463551439999952,-73.9449275
120,6.4628261999999514,-73.9449275
121,6.462100959999951,-73.9449275
122,6.461375719999951,-73.9449275
123,6.46065047999995,-73.9449275
124,6.45992523999995,-73.9449275
125,6.549855,-73.943205055
126,6.54912976,-73.943205055
127,6.548404519999999,-73.943205055
128,6.547679279999999,-73.943205055
129,6.546954039999998,-73.943205055
130,6.546228799999998,-73.943205055
131,6.545503559999998,-73.943205055
132,6.544778319999997,-73.943205055
133,6.544053079999997,-73.943205055
134,6.543327839999996,-73.943205055
135,6.542602599999996,-73.943205055
136,6.5418773599999955,-73.943205055
137,6.541152119999995,-73.943205055
138,6.540426879999995,-73.943205055
139,6.539701639999994,-73.943205055
140,6.538976399999994,-73.943205055
141,6.5382511599999935,-73.943205055
142,6.537525919999993,-73.943205055
143,6.536800679999993,-73.943205055
144,6.536075439999992,-73.943205055
145,6.535350199999992,-73.943205055
146,6.5346249599999915,-73.943205055
147,6.533899719999991,-73.943205055
148,6.533174479999991,-73.943205055
149,6.53244923999999,-73.943205055
150,6.53172399999999,-73.943205055
151,6.5309987599999895,-73.943205055
