distance_deg,P,S,PcP,PKP,SKS
82.6052,736.7230,1350.8724,741.4181,,1352.3733
82.9659,738.5857,1354.5248,742.9958,,1354.7608
83.3267,740.4383,1358.1610,744.5746,,1357.1340
83.6874,742.2811,1361.7809,746.1542,,1359.4961
84.0481,744.1138,1365.3846,747.7348,,1361.8468
84.4088,745.9363,1368.9719,749.3163,,1364.1849
84.7695,747.7483,1372.5426,750.8987,,1366.5099
85.1303,749.5505,1376.0971,752.4819,,1368.8213
85.4910,751.3428,1379.6351,754.0659,,1371.1191
85.8517,753.1249,1383.1566,755.6507,,1373.4024
86.2124,754.8963,1386.6617,757.2362,,1375.6716
86.5731,756.6575,1390.1502,758.8225,,1377.9272
86.9339,758.4083,1393.6222,760.4095,,1380.1723
87.2946,760.1488,1397.0776,761.9971,,1382.4050
87.6553,761.8794,1400.5164,763.5854,,1384.6251
88.0160,763.5997,1403.9383,765.1743,,1386.8317
88.3768,765.3095,1407.3435,766.7639,,1389.0248
88.7375,767.0088,1410.7319,768.3540,,1391.2043
89.0982,768.6973,1414.1038,769.9447,,1393.3695
89.4589,770.3753,1417.4587,771.5358,,1395.5209
89.8196,772.0461,1420.7966,773.1275,,1397.6619
90.1804,773.7163,1424.1174,774.7197,,1399.7913
90.5411,775.3857,1427.4211,776.3124,,1401.9084
90.9018,777.0539,1430.7078,777.9054,,1404.0125
91.2625,778.7207,1433.9774,779.4988,,1406.1039
91.6232,780.3857,1437.2302,781.0927,,1408.1818
91.9840,782.0487,1440.4659,782.6869,,1410.2465
92.3447,783.7094,1443.6844,784.2815,,1412.2974
92.7054,785.3677,1446.8852,785.8764,,1414.3378
93.0661,787.0232,1450.0687,787.4715,,1416.3676
93.4269,788.6757,1453.2349,789.0669,,1418.3856
93.7876,790.3252,1456.3850,790.6628,,1420.3911
94.1483,791.9714,1459.5297,792.2588,,1422.3843
94.5090,793.6142,1462.6737,793.8548,,1424.3649
94.8697,795.2533,1465.8160,795.4513,,1426.3323
95.2305,796.8888,1468.9561,797.0477,,1428.2870
95.5912,798.5204,1472.0933,798.6446,,1430.2312
95.9519,800.1480,1475.2271,800.2412,,1432.1652
96.3126,801.7716,1478.3573,801.8381,,1434.0877
96.6733,803.3909,1481.4832,803.4352,,1435.9986
97.0341,805.0060,1484.6047,805.0323,,1437.8978
97.3948,806.6166,1487.7213,806.6293,,1439.7849
97.7555,808.2227,1490.8327,808.2263,,1441.6597
98.1162,809.8241,1493.9387,809.8233,,1443.5222
98.4770,,1497.0389,,,1445.3740
98.8377,,1500.1331,,,1447.2162
99.1984,,1503.2211,,,1449.0480
99.5591,,1506.3026,,,1450.8686
99.9198,,1509.3773,,,1452.6775
100.2806,,1512.4452,,,1454.4753
100.6413,,1515.5059,,,1456.2612
101.0020,,1518.5593,,,1458.0352
101.3627,,1521.6052,,,1459.7986
101.7234,,1524.6434,,,1461.5529
102.0842,,1527.6738,,,1463.2967
102.4449,,1530.6963,,,1465.0300
102.8056,,,,,1466.7523
103.1663,,,,,1468.4636
103.5271,,,,,1470.1640
103.8878,,,,,1471.8528
104.2485,,,,,1473.5306
104.6092,,,,,1475.1997
104.9699,,,,,1476.8591
105.3307,,,,,1478.5084
105.6914,,,,,1480.1472
106.0521,,,,,1481.7754
106.4128,,,,,1483.3928
106.7735,,,,,1484.9995
107.1343,,,,,1486.5955
107.4950,,,,,1488.1828
107.8557,,,,,1489.7608
108.2164,,,,,1491.3289
108.5772,,,,,1492.8870
108.9379,,,,,1494.4348
109.2986,,,,,1495.9724
109.6593,,,,,1497.4996
110.0200,,,,,1499.0163
110.3808,,,,,1500.5242
110.7415,,,,,1502.0232
111.1022,,,,,1503.5127
111.4629,,,,,1504.9924
111.8236,,,,,1506.4624
112.1844,,,,,1507.9224
112.5451,,,,,1509.3722
112.9058,,,,,1510.8120
113.2665,,,,,1512.2427
113.6273,,,,,1513.6651
113.9880,,,,,1515.0782
114.3487,,,,,1516.4816
114.7094,,,,,1517.8756
115.0701,,,,,1519.2602
115.4309,,,,,1520.6351
115.7916,,,,,1521.9998
116.1523,,,,,1523.3550
116.5130,,,,,1524.7025
116.8737,,,,,1526.0411
117.2345,,,,,1527.3703
117.5952,,,,,1528.6899
117.9559,,,,,1530.0006
118.3166,,,,,1531.3018
118.6774,,,,,1532.5932
119.0381,,,,,1533.8750
119.3988,,,,,1535.1491
119.7595,,,,,1536.4146
120.1202,,,,,1537.6711
120.4810,,,,,1538.9181
120.8417,,,,,1540.1561
121.2024,,,,,1541.3849
121.5631,,,,,1542.6043
121.9238,,,,,1543.8144
122.2846,,,,,1545.0168
122.6453,,,,,1546.2107
123.0060,,,,,1547.3958
123.3667,,,,,1548.5716
123.7275,,,,,1549.7387
124.0882,,,,,1550.8969
124.4489,,,,,1552.0459
124.8096,,,,,1553.1854
125.1703,,,,,1554.3170
125.5311,,,,,1555.4405
125.8918,,,,,1556.5553
126.2525,,,,,1557.6611
126.6132,,,,,1558.7582
126.9739,,,,,1559.8467
127.3347,,,,,1560.9261
127.6954,,,,,1561.9963
128.0561,,,,,1563.0581
128.4168,,,,,1564.1120
128.7776,,,,,1565.1574
129.1383,,,,,1566.1944
129.4990,,,,,1567.2226
129.8597,,,,,1568.2420
130.2204,,,,,1569.2528
130.5812,,,,,1570.2547
130.9419,,,,,1571.2482
131.3026,,,,,1572.2341
131.6633,,,,,1573.2114
132.0240,,,,,1574.1801
132.3848,,,,,1575.1401
132.7455,,,,,1576.0919
133.1062,,,,,1577.0350
133.4669,,,,,1577.9692
133.8277,,,,,1578.8950
134.1884,,,,,1579.8132
134.5491,,,,,1580.7230
134.9098,,,,,1581.6241
135.2705,,,,,1582.5170
135.6313,,,,,1583.4016
135.9920,,,,,1584.2775
136.3527,,,,,1585.1447
136.7134,,,,,1586.0037
137.0741,,,,,1586.8551
137.4349,,,,,1587.6982
137.7956,,,,,1588.5328
138.1563,,,,,1589.3590
138.5170,,,,,1590.1771
