id,lat,lon
0,6.549855,-73.9449275
1,6.54912976,-73.9449275
2,6.54840452,-73.9449275
3,6.54767928,-73.9449275
4,6.54695404,-73.9449275
5,6.5462288,-73.9449275
6,6.54550356,-73.9449275
7,6.54477832,-73.9449275
8,6.54405308,-73.9449275
9,6.54332784,-73.9449275
10,6.5426026,-73.9449275
11,6.54187736,-73.9449275
12,6.54115212,-73.9449275
13,6.54042688,-73.9449275
14,6.53970164,-73.9449275
15,6.5389764,-73.9449275
16,6.53825116,-73.9449275
17,6.53752592,-73.9449275
18,6.53680068,-73.9449275
19,6.53607544,-73.9449275
20,6.5353502,-73.9449275
21,6.53462496,-73.9449275
22,6.53389972,-73.9449275
23,6.53317448,-73.9449275
24,6.53244924,-73.9449275
25,6.531724,-73.9449275
26,6.53099876,-73.9449275
27,6.53027352,-73.9449275
28,6.52954828,-73.9449275
29,6.52882304,-73.9449275
30,6.5280978,-73.9449275
31,6.52737256,-73.9449275
32,6.52664732,-73.9449275
33,6.52592208,-73.9449275
34,6.52519684,-73.9449275
35,6.5244716,-73.9449275
36,6.52374636,-73.9449275
37,6.52302112,-73.9449275
38,6.52229588,-73.9449275
39,6.52157064,-73.9449275
40,6.5208454,-73.9449275
41,6.52012016,-73.9449275
42,6.51939492,-73.9449275
43,6.51866968,-73.9449275
44,6.51794444,-73.9449275
45,6.5172192,-73.9449275
46,6.51649396,-73.9449275
47,6.51576872,-73.9449275
48,6.51504348,-73.9449275
49,6.51431824,-73.9449275
50,6.513593,-73.9449275
51,6.51286776,-73.9449275
52,6.51214252,-73.9449275
53,6.51141728,-73.9449275
54,6.51069204,-73.9449275
55,6.5099668,-73.9449275
56,6.50924156,-73.9449275
57,6.50851632,-73.9449275
58,6.50779108,-73.9449275
59,6.50706584,-73.9449275
60,6.5063406,-73.9449275
61,6.50561536,-73.9449275
62,6.50489012,-73.9449275
63,6.50416488,-73.9449275
64,6.50343964,-73.9449275
65,6.5027144,-73.9449275
66,6.50198916,-73.9449275
67,6.50126392,-73.9449275
68,6.50053868,-73.9449275
69,6.49981344,-73.9449275
70,6.4990882,-73.9449275
71,6.49836296,-73.9449275
72,6.49763772,-73.9449275
73,6.49691248,-73.9449275
74,6.49618724,-73.9449275
75,6.495462,-73.9449275
76,6.49473676,-73.9449275
77,6.49401152,-73.9449275
78,6.49328628,-73.9449275
79,6.49256104,-73.9449275
80,6.4918358,-73.9449275
81,6.49111056,-73.9449275
82,6.49038532,-73.9449275
83,6.48966008,-73.9449275
84,6.48893484,-73.9449275
85,6.4882096,-73.9449275
86,6.48748436,-73.9449275
87,6.48675912,-73.9449275
88,6.48603388,-73.9449275
89,6.48530864,-73.9449275
90,6.4845834,-73.9449275
91,6.48385816,-73.9449275
92,6.48313292,-73.9449275
93,6.48240768,-73.9449275
94,6.48168244,-73.9449275
95,6.4809572,-73.9449275
96,6.48023196,-73.9449275
97,6.47950672,-73.9449275
98,6.47878148,-73.9449275
99,6.47805624,-73.9449275
100,6.477331,-73.9449275
101,6.47660576,-73.9449275
102,6.47588052,-73.9449275
103,6.47515528,-73.9449275
104,6.47443004,-73.9449275
105,6.4737048,-73.9449275
106,6.47297956,-73.9449275
107,6.47225432,-73.9449275
108,6.47152908,-73.9449275
109,6.47080384,-73.9449275
110,6.4700786,-73.9449275
111,6.46935336,-73.9449275
112,6.46862812,-73.9449275
113,6.46790288,-73.9449275
114,6.46717764,-73.9449275
115,6.4664524,-73.9449275
116,6.46572716,-73.9449275
117,6.46500192,-73.9449275
118,6.46427668,-73.9449275
119,6.46355144,-73.9449275
120,6.4628262,-73.9449275
121,6.46210096,-73.9449275
122,6.46137572,-73.9449275
123,6.46065048,-73.9449275
124,6.45992524,-73.9449275
125,6.549855,-73.94320506
126,6.54912976,-73.94320506
127,6.54840452,-73.94320506
128,6.54767928,-73.94320506
129,6.54695404,-73.94320506
130,6.5462288,-73.94320506
131,6.54550356,-73.94320506
132,6.54477832,-73.94320506
133,6.54405308,-73.94320506
134,6.54332784,-73.94320506
135,6.5426026,-73.94320506
136,6.54187736,-73.94320506
137,6.54115212,-73.94320506
138,6.54042688,-73.94320506
139,6.53970164,-73.94320506
140,6.5389764,-73.94320506
141,6.53825116,-73.94320506
142,6.53752592,-73.94320506
143,6.53680068,-73.94320506
144,6.53607544,-73.94320506
145,6.5353502,-73.94320506
146,6.53462496,-73.94320506
147,6.53389972,-73.94320506
148,6.53317448,-73.94320506
149,6.53244924,-73.94320506
150,6.531724,-73.94320506
151,6.53099876,-73.94320506
152,6.53027352,-73.94320506
153,6.52954828,-73.94320506
154,6.52882304,-73.94320506
155,6.5280978,-73.94320506
156,6.52737256,-73.94320506
157,6.52664732,-73.94320506
158,6.52592208,-73.94320506
159,6.52519684,-73.94320506
160,6.5244716,-73.94320506
161,6.52374636,-73.94320506
162,6.52302112,-73.94320506
163,6.52229588,-73.94320506
164,6.52157064,-73.94320506
165,6.5208454,-73.94320506
166,6.52012016,-73.94320506
167,6.51939492,-73.94320506
168,6.51866968,-73.94320506
169,6.51794444,-73.94320506
170,6.5172192,-73.94320506
171,6.51649396,-73.94320506
172,6.51576872,-73.94320506
173,6.51504348,-73.94320506
