id,x_survey,y_survey,E,N,lon,lat
R_15_208,4419.4173824159225,10203.688144947833,828573.4993821211,486111.57080155995,-72.0398653729526,4.39203291997768
R_15_209,4419.4173824159225,10252.74433795239,828573.4993821211,486160.62699456455,-72.03986362429707,4.392476124498459
R_15_210,4419.4173824159225,10301.800530956947,828573.4993821211,486209.6831875691,-72.03986187546337,4.392919329013284
R_15_211,4419.4173824159225,10350.856723961504,828573.4993821211,486258.7393805736,-72.0398601264515,4.393362533522155
R_15_212,4419.4173824159225,10399.912916966061,828573.4993821211,486307.7955735782,-72.03985837726147,4.3938057380250735
R_15_213,4419.4173824159225,10448.969109970618,828573.4993821211,486356.85176658275,-72.03985662789326,4.394248942522037
R_15_214,4419.4173824159225,10498.025302975175,828573.4993821211,486405.9079595873,-72.03985487834687,4.394692147013045
R_15_215,4419.4173824159225,10547.081495979732,828573.4993821211,486454.9641525919,-72.03985312862233,4.395135351498099
R_15_216,4419.4173824159225,10596.137688984289,828573.4993821211,486504.0203455964,-72.0398513787196,4.395578555977195
R_15_217,4419.4173824159225,10645.193881988846,828573.4993821211,486553.07653860096,-72.03984962863872,4.396021760450333
R_15_218,4419.4173824159225,10694.250074993402,828573.4993821211,486602.13273160555,-72.03984787837965,4.396464964917516
R_15_219,4419.4173824159225,10743.30626799796,828573.4993821211,486651.1889246101,-72.0398461279424,4.39690816937874
R_15_220,4419.4173824159225,10792.362461002516,828573.4993821211,486700.2451176147,-72.03984437732699,4.397351373834004
R_15_221,4419.4173824159225,10841.418654007073,828573.4993821211,486749.3013106192,-72.03984262653341,4.397794578283311
R_15_222,4419.4173824159225,10890.47484701163,828573.4993821211,486798.35750362376,-72.03984087556165,4.398237782726656
R_15_223,4419.4173824159225,10939.531040016187,828573.4993821211,486847.41369662835,-72.03983912441171,4.398680987164042
R_15_224,4419.4173824159225,10988.587233020742,828573.4993821211,486896.4698896329,-72.03983737308361,4.399124191595465
R_15_225,4419.4173824159225,11037.643426025299,828573.4993821211,486945.5260826374,-72.03983562157732,4.399567396020928
R_15_226,4419.4173824159225,11086.699619029856,828573.4993821211,486994.582275642,-72.03983386989285,4.400010600440429
R_15_227,4419.4173824159225,11135.755812034413,828573.4993821211,487043.63846864656,-72.03983211803022,4.400453804853966
R_15_228,4419.4173824159225,11184.81200503897,828573.4993821211,487092.6946616511,-72.03983036598939,4.40089700926154
