id,E,N,lon,lat
0,616648.4048058892,724109.882196975,-73.9449275,6.549855000000002
1,616648.5732436919,724029.6975827634,-73.9449275,6.54912976
2,616648.7416629198,723949.5129707834,-73.9449275,6.548404520000001
3,616648.9100635727,723869.3283610342,-73.9449275,6.5476792800000005
4,616649.0784456508,723789.1437535159,-73.9449275,6.546954039999999
5,616649.2468091538,723708.9591482282,-73.9449275,6.546228799999999
6,616649.4151540818,723628.7745451713,-73.9449275,6.54550356
7,616649.5834804348,723548.5899443439,-73.9449275,6.544778319999999
8,616649.7517882129,723468.4053457468,-73.9449275,6.544053080000001
9,616649.9200774159,723388.2207493795,-73.9449275,6.54332784
10,616650.0883480437,723308.0361552413,-73.9449275,6.5426026
11,616650.2566000965,723227.8515633324,-73.9449275,6.541877359999999
12,616650.424833574,723147.6669736522,-73.9449275,6.54115212
13,616650.5930484765,723067.4823862009,-73.9449275,6.54042688
14,616650.7612448037,722987.2978009782,-73.9449275,6.5397016400000005
15,616650.9294225557,722907.1132179836,-73.9449275,6.5389764
16,616651.0975817326,722826.9286372167,-73.9449275,6.538251160000001
17,616651.2657223342,722746.7440586777,-73.9449275,6.53752592
18,616651.4338443603,722666.5594823662,-73.9449275,6.53680068
19,616651.6019478113,722586.374908282,-73.9449275,6.536075440000001
20,616651.7700326869,722506.1903364246,-73.9449275,6.5353502
21,616651.9380989871,722426.0057667941,-73.9449275,6.5346249599999995
22,616652.1061467119,722345.82119939,-73.9449275,6.53389972
23,616652.2741758613,722265.6366342121,-73.9449275,6.53317448
24,616652.4421864352,722185.4520712603,-73.9449275,6.53244924
25,616652.6101784337,722105.2675105341,-73.9449275,6.531724
26,616652.7781518567,722025.0829520337,-73.9449275,6.530998760000001
27,616652.9461067042,721944.8983957584,-73.9449275,6.530273519999998
28,616653.114042976,721864.7138417084,-73.9449275,6.52954828
29,616653.2819606725,721784.5292898827,-73.9449275,6.528823039999999
30,616653.4498597933,721704.344740282,-73.9449275,6.5280978
31,616653.6177403383,721624.1601929056,-73.9449275,6.52737256
32,616653.7856023079,721543.9756477529,-73.9449275,6.526647319999999
33,616653.9534457016,721463.7911048244,-73.9449275,6.525922079999999
34,616654.1212705198,721383.6065641196,-73.9449275,6.525196840000001
35,616654.2890767623,721303.4220256377,-73.9449275,6.5244716
36,616654.4568644289,721223.2374893792,-73.9449275,6.5237463600000005
37,616654.6246335197,721143.0529553433,-73.9449275,6.523021119999999
38,616654.7923840348,721062.8684235301,-73.9449275,6.52229588
39,616654.9601159741,720982.6838939395,-73.9449275,6.521570640000001
40,616655.1278293375,720902.4993665708,-73.9449275,6.520845400000001
41,616655.295524125,720822.3148414241,-73.9449275,6.52012016
42,616655.4632003367,720742.1303184989,-73.9449275,6.51939492
43,616655.6308579723,720661.9457977952,-73.9449275,6.51866968
44,616655.7984970321,720581.7612793125,-73.9449275,6.51794444
45,616655.9661175159,720501.5767630509,-73.9449275,6.517219199999999
46,616656.1337194237,720421.3922490099,-73.9449275,6.516493959999999
47,616656.3013027554,720341.2077371893,-73.9449275,6.515768719999999
48,616656.468867511,720261.0232275891,-73.9449275,6.515043480000001
49,616656.6364136908,720180.8387202085,-73.9449275,6.51431824
50,616656.8039412943,720100.654215048,-73.9449275,6.513593
51,616656.9714503216,720020.4697121063,-73.9449275,6.512867759999999
52,616657.1389407729,719940.2852113845,-73.9449275,6.512142520000001
